Alexandra Kolla
Andrew Drucker
Brendan Lucier
Daniel Wichs
Daniele Micciancio
Eric Blais
Faith Ellen
Irit Dinur
Joe Neeman
Marek Cygan
Mark Braverman
Moni Naor
Moses Charikar
Ola Svensson
Or Meir
Prahladh Harsha
Raghu Meka
Rasmus Pagh
Robert Krauthgamer
Rocco Servedio
Sariel Har-Peled
Siu On Chan
Swastik Kopparty
Thomas Vidick
Yaoyun Shi
